Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 26.51     16.24    16.24 111661494     0.00     0.00  debug_draw_t::DrawCircle(b2Vec2 const&, float, b2Color const&)
[37]     0.4    0.25    0.00                 b2PairLessThan(b2Pair const&, b2Pair const&) [37]
-----------------------------------------------
                                                 <spontaneous>
[38]     0.4    0.25    0.00                 b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [38]
-----------------------------------------------
                                                 <spontaneous>
[39]     0.4    0.25    0.00                 b2DynamicTree::InsertLeaf(int) [39]
-----------------------------------------------
                                                 <spontaneous>
[40]     0.4    0.24    0.00                 b2TestOverlap(b2AABB const&, b2AABB const&) [40]
-----------------------------------------------
                                                 <spontaneous>
[41]     0.4    0.24    0.00                 b2Contact::Update(b2ContactListener*) [41]
                0.00    0.00 1627231/1627231     b2ContactListener::PreSolve(b2Contact*, b2Manifold const*) [234]
                0.00    0.00   20769/20769       cs251::base_sim_t::BeginContact(b2Contact*) [235]
                0.00    0.00   19912/19928       b2ContactListener::EndContact(b2Contact*) [236]
-----------------------------------------------
                                                 <spontaneous>
[42]     0.4    0.22    0.00                 b2Vec2::operator+=(b2Vec2 const&) [42]
-----------------------------------------------
                                                 <spontaneous>
[43]     0.4    0.22    0.00                 b2EPCollider::ComputePolygonSeparation() [43]
-----------------------------------------------
                                                 <spontaneous>
[44]     0.4    0.22    0.00                 b2TimeOfImpact(b2TOIOutput*, b2TOIInput const*) [44]
-----------------------------------------------
                                                 <spontaneous>
[45]     0.3    0.21    0.00                 b2Sweep::GetTransform(b2Transform*, float) const [45]
-----------------------------------------------
                0.20    0.00  838364/838364      b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [1]
[46]     0.3    0.20    0.00  838364         debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [46]
-----------------------------------------------
                                                 <spontaneous>
[47]     0.3    0.20    0.00                 b2TreeNode::IsLeaf() const [47]
-----------------------------------------------
                                                 <spontaneous>
[48]     0.3    0.20    0.00                 b2Vec2::Normalize() [48]
-----------------------------------------------
                                                 <spontaneous>
[49]     0.3    0.18    0.00                 float b2Clamp<float>(float, float, float) [49]
-----------------------------------------------
                                                 <spontaneous>
[50]     0.3    0.18    0.00                 b2Shape::GetType() const [50]
-----------------------------------------------
                                                 <spontaneous>
[51]     0.3    0.18    0.00                 b2ContactSolver::WarmStart() [51]
-----------------------------------------------
                                                 <spontaneous>
[52]     0.3    0.18    0.00                 b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [52]
-----------------------------------------------
                                                 <spontaneous>
[53]     0.3    0.17    0.00                 b2Fixture::GetShape() [53]
-----------------------------------------------
                                                 <spontaneous>
[54]     0.3    0.17    0.00                 b2Fixture::IsSensor() const [54]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.3    0.16    0.00                 b2DynamicTree::Balance(int) [55]
-----------------------------------------------
                                                 <spontaneous>
[56]     0.2    0.15    0.00                 b2Contact::GetNext() [56]
-----------------------------------------------
                                                 <spontaneous>
[57]     0.2    0.15    0.00                 b2Rot::Set(float) [57]
-----------------------------------------------
                                                 <spontaneous>
[58]     0.2    0.15    0.00                 b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [58]
-----------------------------------------------
                                                 <spontaneous>
[59]     0.2    0.14    0.00                 b2Simplex::Solve3() [59]
-----------------------------------------------
                                                 <spontaneous>
[60]     0.2    0.14    0.00                 b2DistanceProxy::GetVertex(int) const [60]
-----------------------------------------------
                                                 <spontaneous>
[61]     0.2    0.14    0.00                 b2Vec2::Length() const [61]
-----------------------------------------------
                                                 <spontaneous>
[62]     0.2    0.13    0.00                 b2Vec2::LengthSquared() const [62]
-----------------------------------------------
                                                 <spontaneous>
[63]     0.2    0.13    0.00                 b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&) [63]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.2    0.13    0.00                 b2ChainShape::GetChildEdge(b2EdgeShape*, int) const [64]
-----------------------------------------------
                                                 <spontaneous>
[65]     0.2    0.12    0.00                 b2Body::GetFixtureList() [65]
-----------------------------------------------
                                                 <spontaneous>
[66]     0.2    0.11    0.00                 b2Pair* std::__unguarded_partition<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>) [66]
-----------------------------------------------
                                                 <spontaneous>
[67]     0.2    0.10    0.00                 b2GrowableStack<int, 256>::Push(int const&) [67]
-----------------------------------------------
                                                 <spontaneous>
[68]     0.2    0.10    0.00                 b2AABB::Combine(b2AABB const&, b2AABB const&) [68]
-----------------------------------------------
                                                 <spontaneous>
[69]     0.2    0.10    0.00                 b2Vec2::Set(float, float) [69]
-----------------------------------------------
                                                 <spontaneous>
[70]     0.2    0.10    0.00                 b2SeparationFunction::FindMinSeparation(int*, int*, float) const [70]
-----------------------------------------------
                                                 <spontaneous>
[71]     0.1    0.09    0.00                 b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [71]
-----------------------------------------------
                                                 <spontaneous>
[72]     0.1    0.09    0.00                 b2Transform::b2Transform() [72]
-----------------------------------------------
                                                 <spontaneous>
[73]     0.1    0.09    0.00                 b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [73]
-----------------------------------------------
                                                 <spontaneous>
[74]     0.1    0.09    0.00                 b2Sweep::b2Sweep() [74]
-----------------------------------------------
                                                 <spontaneous>
[75]     0.1    0.09    0.00                 void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const [75]
-----------------------------------------------
                                                 <spontaneous>
[76]     0.1    0.09    0.00                 b2Contact::GetChildIndexA() const [76]
-----------------------------------------------
                                                 <spontaneous>
[77]     0.1    0.08    0.00                 b2MulT(b2Rot const&, b2Rot const&) [77]
-----------------------------------------------
                                                 <spontaneous>
[78]     0.1    0.08    0.00                 b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [78]
-----------------------------------------------
                                                 <spontaneous>
[79]     0.1    0.08    0.00                 b2Simplex::GetSearchDirection() const [79]
-----------------------------------------------
                                                 <spontaneous>
[80]     0.1    0.07    0.00                 b2Body::GetNext() [80]
-----------------------------------------------
                                                 <spontaneous>
[81]     0.1    0.07    0.00                 b2Distance(b2Vec2 const&, b2Vec2 const&) [81]
-----------------------------------------------
                                                 <spontaneous>
[82]     0.1    0.07    0.00                 b2EPCollider::b2EPCollider() [82]
-----------------------------------------------
                                                 <spontaneous>
[83]     0.1    0.07    0.00                 b2Fixture::GetNext() [83]
-----------------------------------------------
                                                 <spontaneous>
[84]     0.1    0.07    0.00                 b2Contact::IsTouching() const [84]
-----------------------------------------------
                                                 <spontaneous>
[85]     0.1    0.07    0.00                 b2Contact::GetChildIndexB() const [85]
-----------------------------------------------
                                                 <spontaneous>
[86]     0.1    0.07    0.00                 b2Fixture::GetType() const [86]
-----------------------------------------------
                                                 <spontaneous>
[87]     0.1    0.07    0.00                 void std::__adjust_heap<b2Pair*, long, b2Pair, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, long, long, b2Pair, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>) [87]
-----------------------------------------------
                                                 <spontaneous>
[88]     0.1    0.07    0.00                 void std::__unguarded_linear_insert<b2Pair*, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>) [88]
-----------------------------------------------
                0.07    0.00 1759746/1759746     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [1]
[89]     0.1    0.07    0.00 1759746         debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [89]
-----------------------------------------------
                                                 <spontaneous>
[90]     0.1    0.07    0.00                 b2Mat22::SetZero() [90]
-----------------------------------------------
                                                 <spontaneous>
[91]     0.1    0.06    0.00                 b2EPCollider::ComputeEdgeSeparation() [91]
-----------------------------------------------
                                                 <spontaneous>
[92]     0.1    0.06    0.00                 b2DistanceProxy::Set(b2Shape const*, int) [92]
-----------------------------------------------
                                                 <spontaneous>
[93]     0.1    0.06    0.00                 b2GrowableStack<int, 256>::Pop() [93]
-----------------------------------------------
                                                 <spontaneous>
[94]     0.1    0.06    0.00                 b2Rot::b2Rot(float) [94]
-----------------------------------------------
                                                 <spontaneous>
[95]     0.1    0.04    0.02                 cs251::callbacks_t::display_cb() [95]
                0.02    0.00   17843/17843       cs251::base_sim_t::step(cs251::settings_t*) [147]
                0.00    0.00   17843/17843       debug_draw_t::DrawString(int, int, char const*, ...) [237]
                0.00    0.00   17843/17843       cs251::base_sim_t::draw_title(int, int, char const*) [238]
-----------------------------------------------
                                                 <spontaneous>
[96]     0.1    0.06    0.00                 b2Body::GetContactList() [96]
-----------------------------------------------
                                                 <spontaneous>
[97]     0.1    0.06    0.00                 bool __gnu_cxx::__ops::_Val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>::operator()<b2Pair, b2Pair*>(b2Pair&, b2Pair*) [97]
-----------------------------------------------
                                                 <spontaneous>
[98]     0.1    0.06    0.00                 b2Contact::GetFixtureB() [98]
-----------------------------------------------
                                                 <spontaneous>
[99]     0.1    0.06    0.00                 b2Timer::GetMilliseconds() const [99]
-----------------------------------------------
                                                 <spontaneous>
[100]    0.1    0.06    0.00                 b2DistanceJoint::Dump() [100]
-----------------------------------------------
                                                 <spontaneous>
[101]    0.1    0.06    0.00                 bool __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>::operator()<b2Pair*, b2Pair*>(b2Pair*, b2Pair*) [101]
-----------------------------------------------
                                                 <spontaneous>
[102]    0.1    0.05    0.00                 b2CollideCircles(b2Manifold*, b2CircleShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [102]
-----------------------------------------------
                                                 <spontaneous>
[103]    0.1    0.05    0.00                 b2MulT(b2Transform const&, b2Vec2 const&) [103]
-----------------------------------------------
                                                 <spontaneous>
[104]    0.1    0.05    0.00                 b2MulT(b2Transform const&, b2Transform const&) [104]
-----------------------------------------------
                                                 <spontaneous>
[105]    0.1    0.05    0.00                 b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) [105]
-----------------------------------------------
                                                 <spontaneous>
[106]    0.1    0.05    0.00                 b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [106]
-----------------------------------------------
                                                 <spontaneous>
[107]    0.1    0.05    0.00                 b2SimplexVertex::b2SimplexVertex() [107]
-----------------------------------------------
                                                 <spontaneous>
[108]    0.1    0.05    0.00                 b2Body::SynchronizeFixtures() [108]
-----------------------------------------------
                                                 <spontaneous>
[109]    0.1    0.05    0.00                 b2World::DrawDebugData() [109]
-----------------------------------------------
                                                 <spontaneous>
[110]    0.1    0.05    0.00                 b2AABB::GetPerimeter() const [110]
-----------------------------------------------
                                                 <spontaneous>
[111]    0.1    0.05    0.00                 b2Mat33::Solve22(b2Vec2 const&) const [111]
-----------------------------------------------
                                                 <spontaneous>
[112]    0.1    0.05    0.00                 b2Vec2::SetZero() [112]
-----------------------------------------------
                                                 <spontaneous>
[113]    0.1    0.05    0.00                 b2Body::GetMass() const [113]
-----------------------------------------------
                                                 <spontaneous>
[114]    0.1    0.04    0.00                 b2World::DrawJoint(b2Joint*) [114]
                0.00    0.00  916447/112577941     debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [17]
-----------------------------------------------
                                                 <spontaneous>
[115]    0.1    0.04    0.00                 b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [115]
-----------------------------------------------
                                                 <spontaneous>
[116]    0.1    0.04    0.00                 b2EdgeShape::b2EdgeShape() [116]
-----------------------------------------------
                                                 <spontaneous>
[117]    0.1    0.04    0.00                 void b2BroadPhase::UpdatePairs<b2ContactManager>(b2ContactManager*) [117]
-----------------------------------------------
                                                 <spontaneous>
[118]    0.1    0.04    0.00                 debug_draw_t::DrawPolygon(b2Vec2 const*, int, b2Color const&) [118]
-----------------------------------------------
                                                 <spontaneous>
[119]    0.1    0.04    0.00                 b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&) [119]
-----------------------------------------------
                                                 <spontaneous>
[120]    0.1    0.04    0.00                 b2RevoluteJoint::Dump() [120]
-----------------------------------------------
                                                 <spontaneous>
[121]    0.1    0.04    0.00                 b2StackAllocator::Allocate(int) [121]
-----------------------------------------------
                                                 <spontaneous>
[122]    0.1    0.04    0.00                 b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [122]
-----------------------------------------------
                                                 <spontaneous>
[123]    0.1    0.04    0.00                 b2Simplex::b2Simplex() [123]
-----------------------------------------------
                                                 <spontaneous>
[124]    0.1    0.04    0.00                 b2DynamicTree::GetUserData(int) const [124]
-----------------------------------------------
                                                 <spontaneous>
[125]    0.1    0.04    0.00                 b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [125]
-----------------------------------------------
                                                 <spontaneous>
[126]    0.1    0.04    0.00                 b2Simplex::WriteCache(b2SimplexCache*) const [126]
-----------------------------------------------
                                                 <spontaneous>
[127]    0.1    0.04    0.00                 b2Simplex::GetClosestPoint() const [127]
-----------------------------------------------
                                                 <spontaneous>
[128]    0.1    0.04    0.00                 void std::swap<b2Pair>(b2Pair&, b2Pair&) [128]
-----------------------------------------------
                                                 <spontaneous>
[129]    0.1    0.04    0.00                 b2Sweep::Normalize() [129]
-----------------------------------------------
                                                 <spontaneous>
[130]    0.1    0.04    0.00                 b2Body::IsActive() const [130]
-----------------------------------------------
                                                 <spontaneous>
[131]    0.0    0.03    0.00                 int b2Max<int>(int, int) [131]
-----------------------------------------------
                                                 <spontaneous>
[132]    0.0    0.03    0.00                 int b2Min<int>(int, int) [132]
-----------------------------------------------
                                                 <spontaneous>
[133]    0.0    0.03    0.00                 b2DynamicTree::RemoveLeaf(int) [133]
-----------------------------------------------
                                                 <spontaneous>
[134]    0.0    0.03    0.00                 b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [134]
-----------------------------------------------
                                                 <spontaneous>
[135]    0.0    0.03    0.00                 b2TempPolygon::b2TempPolygon() [135]
-----------------------------------------------
                                                 <spontaneous>
[136]    0.0    0.03    0.00                 b2ContactSolver::StoreImpulses() [136]
-----------------------------------------------
                                                 <spontaneous>
[137]    0.0    0.03    0.00                 b2GrowableStack<int, 256>::GetCount() [137]
-----------------------------------------------
                                                 <spontaneous>
[138]    0.0    0.03    0.00                 b2Rot::b2Rot() [138]
-----------------------------------------------
                                                 <spontaneous>
[139]    0.0    0.03    0.00                 b2Timer::Reset() [139]
-----------------------------------------------
                                                 <spontaneous>
[140]    0.0    0.03    0.00                 b2Island::Add(b2Body*) [140]
-----------------------------------------------
                                                 <spontaneous>
[141]    0.0    0.03    0.00                 b2Simplex::Solve2() [141]
-----------------------------------------------
                                                 <spontaneous>
[142]    0.0    0.03    0.00                 b2BroadPhase::TestOverlap(int, int) const [142]
-----------------------------------------------
                                                 <spontaneous>
[143]    0.0    0.03    0.00                 b2ChainShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [143]
-----------------------------------------------
                                                 <spontaneous>
[144]    0.0    0.03    0.00                 b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [144]
-----------------------------------------------
                                                 <spontaneous>
[145]    0.0    0.03    0.00                 b2DynamicTree::GetFatAABB(int) const [145]
-----------------------------------------------
                                                 <spontaneous>
[146]    0.0    0.03    0.00                 b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const [146]
-----------------------------------------------
                0.02    0.00   17843/17843       cs251::callbacks_t::display_cb() [95]
[147]    0.0    0.02    0.00   17843         cs251::base_sim_t::step(cs251::settings_t*) [147]
-----------------------------------------------
                                                 <spontaneous>
[148]    0.0    0.02    0.00                 b2DistanceSquared(b2Vec2 const&, b2Vec2 const&) [148]
-----------------------------------------------
                                                 <spontaneous>
[149]    0.0    0.02    0.00                 b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [149]
-----------------------------------------------
                                                 <spontaneous>
[150]    0.0    0.02    0.00                 b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [150]
-----------------------------------------------
                                                 <spontaneous>
[151]    0.0    0.02    0.00                 float b2Abs<float>(float) [151]
-----------------------------------------------
                                                 <spontaneous>
[152]    0.0    0.02    0.00                 b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [152]
-----------------------------------------------
                                                 <spontaneous>
[153]    0.0    0.02    0.00                 b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [153]
-----------------------------------------------
                                                 <spontaneous>
[154]    0.0    0.02    0.00                 b2PulleyJoint::b2PulleyJoint(b2PulleyJointDef const*) [154]
-----------------------------------------------
                                                 <spontaneous>
[155]    0.0    0.02    0.00                 b2CircleContact::b2CircleContact(b2Fixture*, b2Fixture*) [155]
-----------------------------------------------
                                                 <spontaneous>
[156]    0.0    0.02    0.00                 b2DistanceInput::b2DistanceInput() [156]
-----------------------------------------------
                                                 <spontaneous>
[157]    0.0    0.02    0.00                 b2DistanceProxy::b2DistanceProxy() [157]
-----------------------------------------------
                                                 <spontaneous>
[158]    0.0    0.02    0.00                 b2WorldManifold::b2WorldManifold() [158]
-----------------------------------------------
                                                 <spontaneous>
[159]    0.0    0.02    0.00                 b2BlockAllocator::Allocate(int) [159]
-----------------------------------------------
                                                 <spontaneous>
[160]    0.0    0.02    0.00                 b2ChainAndPolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [160]
-----------------------------------------------
                                                 <spontaneous>
[161]    0.0    0.02    0.00                 b2PolygonAndCircleContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [161]
-----------------------------------------------
                                                 <spontaneous>
[162]    0.0    0.02    0.00                 b2AABB::b2AABB() [162]
-----------------------------------------------
                                                 <spontaneous>
[163]    0.0    0.02    0.00                 b2Body::SynchronizeTransform() [163]
-----------------------------------------------
                                                 <spontaneous>
[164]    0.0    0.02    0.00                 b2Body::Dump() [164]
-----------------------------------------------
                                                 <spontaneous>
[165]    0.0    0.02    0.00                 b2Island::Add(b2Joint*) [165]
-----------------------------------------------
                                                 <spontaneous>
[166]    0.0    0.02    0.00                 b2Island::Add(b2Contact*) [166]
-----------------------------------------------
                                                 <spontaneous>
[167]    0.0    0.02    0.00                 b2Contact::FlagForFiltering() [167]
-----------------------------------------------
                                                 <spontaneous>
[168]    0.0    0.02    0.00                 void std::__iter_swap<true>::iter_swap<b2Pair*, b2Pair*>(b2Pair*, b2Pair*) [168]
-----------------------------------------------
                                                 <spontaneous>
[169]    0.0    0.02    0.00                 void std::__unguarded_insertion_sort<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>) [169]
-----------------------------------------------
                                                 <spontaneous>
[170]    0.0    0.02    0.00                 _GLOBAL__sub_I_b2_defaultFilter [170]
-----------------------------------------------
                                                 <spontaneous>
[171]    0.0    0.02    0.00                 b2ContactSolver::SolveTOIPositionConstraints(int, int) [171]
-----------------------------------------------
                                                 <spontaneous>
[172]    0.0    0.02    0.00                 b2PolygonShape::Validate() const [172]
-----------------------------------------------
                                                 <spontaneous>
[173]    0.0    0.02    0.00                 b2World::IsLocked() const [173]
-----------------------------------------------
                0.00    0.00     146/1707809     b2CircleShape::~b2CircleShape() [225]
                0.00    0.00     294/1707809     b2ChainShape::~b2ChainShape() [224]
                0.00    0.00     298/1707809     b2PolygonShape::~b2PolygonShape() [223]
                0.01    0.00 1707071/1707809     b2EdgeShape::~b2EdgeShape() [175]
[174]    0.0    0.02    0.00 1707809         b2Shape::~b2Shape() [174]
-----------------------------------------------
                                                 <spontaneous>
[175]    0.0    0.00    0.01                 b2EdgeShape::~b2EdgeShape() [175]
                0.01    0.00 1707071/1707809     b2Shape::~b2Shape() [174]
-----------------------------------------------
                                                 <spontaneous>
[176]    0.0    0.01    0.00                 b2Cross(b2Vec3 const&, b2Vec3 const&) [176]
-----------------------------------------------
                                                 <spontaneous>
[177]    0.0    0.01    0.00                 b2BroadPhase::QueryCallback(int) [177]
-----------------------------------------------
                                                 <spontaneous>
[178]    0.0    0.01    0.00                 b2BroadPhase::MoveProxy(int, b2AABB const&, b2Vec2 const&) [178]
-----------------------------------------------
                                                 <spontaneous>
[179]    0.0    0.01    0.00                 b2DynamicTree::DestroyProxy(int) [179]
-----------------------------------------------
                                                 <spontaneous>
[180]    0.0    0.01    0.00                 b2CircleContact::Create(b2Fixture*, int, b2Fixture*, int, b2BlockAllocator*) [180]
-----------------------------------------------
                                                 <spontaneous>
[181]    0.0    0.01    0.00                 b2GrowableStack<int, 256>::~b2GrowableStack() [181]
-----------------------------------------------
                                                 <spontaneous>
[182]    0.0    0.01    0.00                 b2ContactManager::~b2ContactManager() [182]
-----------------------------------------------
                                                 <spontaneous>
[183]    0.0    0.01    0.00                 b2PolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [183]
-----------------------------------------------
                                                 <spontaneous>
[184]    0.0    0.01    0.00                 b2PolygonContact::b2PolygonContact(b2Fixture*, b2Fixture*) [184]
-----------------------------------------------
                                                 <spontaneous>
[185]    0.0    0.01    0.00                 b2PrismaticJoint::SolveVelocityConstraints(b2SolverData const&) [185]
-----------------------------------------------
                                                 <spontaneous>
[186]    0.0    0.01    0.00                 b2StackAllocator::Free(void*) [186]
-----------------------------------------------
                                                 <spontaneous>
[187]    0.0    0.01    0.00                 b2SeparationFunction::b2SeparationFunction() [187]
-----------------------------------------------
                                                 <spontaneous>
[188]    0.0    0.01    0.00                 b2Body::SetType(b2BodyType) [188]
-----------------------------------------------
                                                 <spontaneous>
[189]    0.0    0.01    0.00                 b2Vec2::operator*=(float) [189]
-----------------------------------------------
                                                 <spontaneous>
[190]    0.0    0.01    0.00                 b2Joint::GetBodyA() [190]
-----------------------------------------------
                                                 <spontaneous>
[191]    0.0    0.01    0.00                 b2Mat22::b2Mat22() [191]
-----------------------------------------------
                                                 <spontaneous>
[192]    0.0    0.01    0.00                 b2Sweep::Advance(float) [192]
-----------------------------------------------
                                                 <spontaneous>
[193]    0.0    0.01    0.00                 b2Timer::b2Timer() [193]
-----------------------------------------------
                                                 <spontaneous>
[194]    0.0    0.01    0.00                 b2World::Step(float, int, int) [194]
-----------------------------------------------
                                                 <spontaneous>
[195]    0.0    0.01    0.00                 b2Island::Report(b2ContactVelocityConstraint const*) [195]
                0.00    0.00 1628017/1628017     b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*) [233]
-----------------------------------------------
                                                 <spontaneous>
[196]    0.0    0.01    0.00                 __gnu_cxx::__ops::_Iter_comp_val<bool (*)(b2Pair const&, b2Pair const&)> __gnu_cxx::__ops::__iter_comp_val<bool (*)(b2Pair const&, b2Pair const&)>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>) [196]
-----------------------------------------------
                                                 <spontaneous>
[197]    0.0    0.01    0.00                 __gnu_cxx::__ops::_Val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> __gnu_cxx::__ops::__val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>) [197]
-----------------------------------------------
                                                 <spontaneous>
[198]    0.0    0.01    0.00                 b2Contact::b2Contact(b2Fixture*, int, b2Fixture*, int) [198]
-----------------------------------------------
                                                 <spontaneous>
[199]    0.0    0.01    0.00                 b2PolygonShape::RayCast(b2RayCastOutput*, b2RayCastInput const&, b2Transform const&, int) const [199]
-----------------------------------------------
                                                 <spontaneous>
[200]    0.0    0.01    0.00                 b2StackAllocator::GetMaxAllocation() const [200]
-----------------------------------------------
                                                 <spontaneous>
[201]    0.0    0.01    0.00                 b2SeparationFunction::Evaluate(int, int, float) const [201]
-----------------------------------------------
                                                 <spontaneous>
[202]    0.0    0.01    0.00                 b2AABB::Contains(b2AABB const&) const [202]
-----------------------------------------------
                                                 <spontaneous>
[203]    0.0    0.01    0.00                 b2Body::GetWorldCenter() const [203]
-----------------------------------------------
                                                 <spontaneous>
[204]    0.0    0.01    0.00                 b2Body::GetType() const [204]
-----------------------------------------------
                                                 <spontaneous>
[205]    0.0    0.01    0.00                 b2Body::IsBullet() const [205]
-----------------------------------------------
                                                 <spontaneous>
[206]    0.0    0.01    0.00                 b2Mat33::Solve33(b2Vec3 const&) const [206]
-----------------------------------------------
                                                 <spontaneous>
[207]    0.0    0.01    0.00                 b2Simplex::GetMetric() const [207]
-----------------------------------------------
                                                 <spontaneous>
[208]    0.0    0.01    0.00                 b2Pair* std::__copy_move_backward<false, true, std::random_access_iterator_tag>::__copy_move_b<b2Pair>(b2Pair const*, b2Pair const*, b2Pair*) [208]
-----------------------------------------------
                                                 <spontaneous>
[209]    0.0    0.01    0.00                 void std::__pop_heap<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>) [209]
-----------------------------------------------
                                                 <spontaneous>
[210]    0.0    0.01    0.00                 void std::__push_heap<b2Pair*, long, b2Pair, __gnu_cxx::__ops::_Iter_comp_val<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, long, long, b2Pair, __gnu_cxx::__ops::_Iter_comp_val<bool (*)(b2Pair const&, b2Pair const&)>) [210]
-----------------------------------------------
                                                 <spontaneous>
[211]    0.0    0.01    0.00                 void std::__sort_heap<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>) [211]
-----------------------------------------------
                                                 <spontaneous>
[212]    0.0    0.01    0.00                 b2Pair* std::__copy_move_backward_a<false, b2Pair*, b2Pair*>(b2Pair*, b2Pair*, b2Pair*) [212]
-----------------------------------------------
                                                 <spontaneous>
[213]    0.0    0.01    0.00                 b2Pair* std::__unguarded_partition_pivot<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>) [213]
-----------------------------------------------
                                                 <spontaneous>
[214]    0.0    0.01    0.00                 std::__lg(long) [214]
-----------------------------------------------
                                                 <spontaneous>
[215]    0.0    0.01    0.00                 operator==(b2Vec2 const&, b2Vec2 const&) [215]
-----------------------------------------------
                0.01    0.00       4/4           cs251::dominos_t::create() [217]
